CÓDIGO;NOMBRE DEL COLOR;TIPO DE PINTURA;BASE 1;BASE 2;BASE 3;BASE 4;BASE 5;BASE 6;BASE 7;BASE 8;BASE 9;BASE 10;BASE 11;BASE 12;BASE 13;BASE 14;BASE 15;BASE 16;BASE 17
MARRON MET;ROUGINE;DUCO;56;94;2;17;51;;;;;;;;;;;;
GRIS;ONIX;DUCO;70;33;81;22;;;;;;;;;;;;;
MARRON OSCURO;TK-MELA;DUCO;245;500;50;12;70;;;;;;;;;;;;
BLANCO BASE P/ W75;W75;DUCO;161;1;0,6;0,3;2;;;;;;;;;;;;
AMARILLO CLARO;HAYA;DUCO;96;8;2,6;16;0,6;25,8;;;;;;;;;;;
VIOLETA AZUL;LILAS-6;SER;150;90;540;;;;;;;;;;;;;;
VIOLETA PURPURA;LILAS-3;SER;400;40;350;;;;;;;;;;;;;;
VIOLETA OSCURO;LILAS-1;SER;300;200;375;;;;;;;;;;;;;;
VIOLETA PASTEL DE UVA;LILAS-5;SER;460;250;65;25;;;;;;;;;;;;;
VIOLETA AZULADO;LILAS-2;SER;177;5;135;450;;;;;;;;;;;;;
VIOLETA MINION;LILAS-4;SER;420;3;8;2;33;275;;;;;;;;;;;
MARRON;EMBUIA TERRA;DUCO;32;48;22;7;5;22;6;3;;;;;;;;;
BLANCO BEIGE;OLMO;DUCO;150;2;6;1;1;;;;;;;;;;;;
BLANCO BASE P/ Z7T;Z7T;DUCO;150;0,8;0,3;0,4;0,1;;;;;;;;;;;;
ALUMINIO BEIGE;ALUMINIO;DUCO;23;2;3;123;3;;;;;;;;;;;;
BEIGE ARENA MATE;ARENA;SE-MATE;3900;32;92;6;;;;;;;;;;;;;
AZUL VIOLETA BASE;ISEKI;DUCO;130;160;136;;;;;;;;;;;;;;
ROJO VINO METALICO;VINO MET;DUCO;24;85;20;12;4;8;;;;;;;;;;;
AZUL BANCO UNION;UNION;DUCO;300;65;30;25;;;;;;;;;;;;;
TRAMA CARBONO;CARBONO;DUCO;30;2;19;43;2;45;;;;;;;;;;;
GRIS METALICO BASE;ZYZ;DUCO;98;1;5;30;;;;;;;;;;;;;
GRIS GRAFITO;GRAFITO-SER;SER;660;3;60;280;;;;;;;;;;;;;
GRIS CEMENTO;CEMENTO;DUCO;128;14,5;1,5;8;5;;;;;;;;;;;;
NEGRO MET BASE GAB;GAB;DUCO;105;4;6;10;18;;;;;;;;;;;;
AZUL TURQUESA MET;746-TOY;DUCO;53;17;2;70;;;;;;;;;;;;;
BLANCO BASE P/ W75;W75-2;DUCO;459;2;7;0,9;2;;;;;;;;;;;;
BEIGE AMARILLO;HIKORI;DUCO;93;15;3;13;6;21;;;;;;;;;;;
LILA VIOLETA;LILAS-8;SER;475;125;202;;;;;;;;;;;;;;
MARRON BEIGE;PLAS;DUCO;30;59;17;8;52;;;;;;;;;;;;
MARRON BEIGE;KANIO;DUCO;10;76;22;25;17;6;;;;;;;;;;;
BLANCO BASE P/ Z7T;Z7T;DUCO;155,5;1,3;0,3;0,2;0,2;0,3;4,7;;;;;;;;;;
BEIGE GRIS;GANDUIA;DUCO;95;7;50;3;;;;;;;;;;;;;
NARANJA TK-GRANDIS;GRANDIS;DUCO;29;62;6;15;32;;;;;;;;;;;;
GRIS CLARO FONDO MOTOR;1A5-FONDO;DUCO;637;23,5;30,6;32,7;8,3;8,7;5,5;22,5;53;;;;;;;;
CAFÉ CHOCOLATE;MOCACHINO;DUCO;20;60;25;10;30;5;;;;;;;;;;;
AMARILLO VERDOSO;OLMO-A;DUCO;109;4;25;15;8;10;;;;;;;;;;;
BEIGE NARANJA CLARO;TOOR;DUCO;105;7;16;4;4;23;;;;;;;;;;;
BEIGE GRIS;CUBANITA;DUCO;75;10;65;12;4;1;;;;;;;;;;;
CASTAÑO VELASQUES;VELASQUES;DUCO;25;70;15;15;20;5;;;;;;;;;;;
AMARILLO BASE P/ FHVL-14;FHVL-14;DUCO;900;20;130;470;;;;;;;;;;;;;
BEIGE ARENA;LINE;DUCO;150;24;5;1;;;;;;;;;;;;;
PURPURA VANGUARDIA;LILAS-9;SER;400;25;400;;;;;;;;;;;;;;
BIEGE ROSA MET  BASE P/ZKW;ZKW;DUCO;80;11;19;7;4;20;8;;;;;;;;;;
VERDE LIMON MET BASE;ZQB;DUCO;250;160;400;18;10;;;;;;;;;;;;
AZUL SKY MET BASE;RBE;DUCO;109;16;1;6;3;6;12;;;;;;;;;;
BEIGE NOGEIRA CADIZ;CADIZ;DUCO;50;8;20;10;19;50;;;;;;;;;;;
AZUL BANCO FIE;FIE;DUCO;140;50;580;;;;;;;;;;;;;;
VERDE VIVA INTENSO;VIVAS-1;DUCO;320;90;;;;;;;;;;;;;;;
NARANJA BASE MET ;EAU;DUCO;29;12;120;5;23;7;;;;;;;;;;;
AZUL BASE MET ;BY6;DUCO;110;10;13;25;20;24;;;;;;;;;;;
BEIGE CLARO;DUNA;DUCO;110;3;2;40;;;;;;;;;;;;;
GRIS BEIGE;TAUPE;DUCO;115;2;3;18;11;7;6;3;;;;;;;;;
GRIS MET BASE;V3G;DUCO;81;25;15;8;15;;;;;;;;;;;;
AZUL VIOLETA MET BASE;TJ4;DUCO;81;70;2;37;;;;;;;;;;;;;
AZUL METALICO;8L7;DUCO;74;6;60;2;9;;;;;;;;;;;;
AZUL VIOLETA;TORITO;DUCO;95;6;12;54;;;;;;;;;;;;;
AZUL VIOLETA METALICO;8W7;DUCO;80;7;57;;;;;;;;;;;;;;
AZUL BASE MET;BU2;DUCO;40;15;30;35;36;;;;;;;;;;;;
ROJO BASE;R59;DUCO;90;35;2;20;1;;;;;;;;;;;;
ALUMINIO GRIS BASE;A71;DUCO;90;0,2;1;2;1;23;;;;;;;;;;;
GRIS SOMBRA;SOMBRA;DUCO;60;1;19;16;6;54;;;;;;;;;;;
BEIGE METALICO BASE;656-NIS;DUCO;60;2;18;1;10;;;;;;;;;;;;
BEIGE METALICO;PEROLA;DUCO;68;42;34;6;3;;;;;;;;;;;;
