CÓDIGO;NOMBRE DEL COLOR;TIPO DE PINTURA;BASE 1;BASE 2;BASE 3;BASE 4;BASE 5;BASE 6;BASE 7;BASE 8;BASE 9;BASE 10;BASE 11;BASE 12;BASE 13;BASE 14;BASE 15;BASE 16;BASE 17
AL-FE-2;ALUMINIO PU_VJ;FARBEN;160;47;;;;;;;;;;;;;;;
1E9-2012;CINZA CHUMBO;TOYOTA;67;21;7;4;8;80;20;0,5;2,4;0,4;;;;;;;
KKSP-2;BLUE PEARL MET_VJ;TOYOTA;36,7;9,2;15,4;0,6;21,7;1,3;0,5;6,2;1;0,7;10,7;20;;;;;
KCS;SPARKLING SILVER MET_VJ;KIA;144;20;2;1,2;0,4;2;0,4;2;21;;;;;;;;
ZKZ;HEALING GREEN MET_VJ;SUZUKI;58;31;26;16;1;2;21;4;28;;;;;;;;
ARO-2;DOURADO MET CANDY_VJ;HONDA;170;28;1;;;;;;;;;;;;;;
6P4-ALT;GREEN OPAL MET_VJ;TOYOTA;182;80;60;75;20;16;60;320;;;;;;;;;
C002;RUBY RED_VJ;CHERRY;150;3;2;29;3;13;;;;;;;;;;;
T2X-i10;TYPHOON SILVER MET_VJ;HYUNDAI;96,1;0,6;0,3;4,5;0,1;5;3,2;30,7;22,8;30,3;5;;;;;;
S74-2;FRASER BEIGE MET_VJ;MITSUBISHI;746;92;9;57;6;110;160;88;212;220;;;;;;;
ZQQ;SAVANNA IVORY MET_VJ;SUZUKI;110;270;10;81;7;69;30;260;;;;;;;;;
PXR;BRILLIANT BLACK CRYSTAL MET_VJ;JEEP;5;40;50;100;6;12;190;;;;;;;;;;
VR6;RED AWESOME MET-VJ;HYUNDAI;48,3;0,7;2;0,4;8,6;16;29;34,6;2,5;3,5;2;44,5;;;;;
TROFEO-6;GOLD MET_VJ;FARBEN;1000;60;40;26;40;50;;;;;;;;;;;
KKSP-4;VERDE OLIVO MET_VJ;TOYOTA;45;24;45;12;4;21;1;45;;;;;;;;;
FT-6;WHITE 2022_VJ;FOTON;258;1,2;0,2;0,5;1;0,3;0,9;;;;;;;;;;
MOT-3;RED CFR CHINITO_VJ;CHINO;60;20;4;60;1;3;60;;;;;;;;;;
A17;WARN SILVER MET_VJ;MITSUHISHI;86;46;24,2;10;4,7;14;0,2;0,2;7;;;;;;;;
W09;SOPHIA WHITE_VJ;MITSUBISHI;237;0,3;1;0,6;0,5;0,4;0,6;;;;;;;;;;
1G3-LC;GREY MET_VJ;TOYOTA;33,6;82,4;52,8;1;6,4;10,4;24;18;200;;;;;;;;
KKSP-5;VERDE MENTA 6P4 MET_VJ;TOYOTA;140;19;1;17;8;20;10;;;;;;;;;;
MOT-4;AMARILLO LIMON PERLA_VJ;FARBEN;160;2;4;2;16;20;;;;;;;;;;;
266-RE;GRIS ACIER MET_VJ;RENAULT;44,4;22,4;15;22,2;15;5;12;9;36;35;18;;;;;;
UM0;AZUL_VJ;DAEWO;840;660;340;;;;;;;;;;;;;;
KNU;GRIS TAUPE_VJ;RENAULT;106;5;83;18;;;;;;;;;;;;;
KBY-QS;STEALTH GRAY_VJ;NISSAN;149,4;45;21,6;50;6;3,6;9;3;70,2;;;;;;;;
ZMW;MINERAL GREY MET_VJ;SUZUKI;14,4;4,4;25,3;28,6;16,3;0,2;7,4;0,2;4,4;6;0,9;4,6;4,6;1,6;4,2;60,6;
ABT;PLATINUM GRAPHITE MET_VJ;KIA;76,8;16;11,2;4,8;8,8;4;4;11,2;1,6;8,8;36;;;;;;
V3G;STAR DUTS MET_VJ;HYUNDAI;62;19;24;13;20;1;50;8;;;;;;;;;
KKSP-7;BLUE PEARL MET_VJ;TOYOTA;27;8;6;34;5;1;1,5;17;54;13;34;;;;;;
CH-9;WHITE MOIZ_VJ;KING LONG;995;6;12;7;2;50;;;;;;;;;;;
HS;HEART MET_VJ;FORD;37;17;8;14;10;2;7;1;;;;;;;;;
ZHC;VERDE GROPIUS MET_VJ;SUZUKI;376;28,7;56;77;28;3,5;2,1;132;122;;;;;;;;
42U;DEEP BLUISH GREEN MICA_VJ;DAEWO;76,2;68;16;0,6;83,8;17,7;1,3;44,1;0,5;3,3;101,8;;;;;;
CDR-9;GREEN MET_VJ;NISSAN;15;11;17;7;2;6;3;47;92;;;;;;;;
FD-1;AMARILLO METALICO_VJ;FORD;100;700;570;346;580;420;;;;;;;;;;;
FD-2;GOLD MET_VJ;FORD;103;87;28;100;12;50;25;2;7;7;7;1;3;40;50;;
205-GE;SILVER MET_VJ;GEELY;98,6;107;43;63,7;9,1;20;30;1;2;2;7;1;3;;;;
GREEN-4;VERDE CANDY BASE MET;FARBEN;1140;110;70;;;;;;;;;;;;;;
GREEN-5;VERDE CANDY TRANSPARENTE;FARBEN;26;3;1;;;;;;;;;;;;;;
CNS;BRUN SAVANE NACRE MET_VJ;RENAULT;30;0,8;2,2;0,1;9;9,3;1;60;5,8;38;10;42;;;;;
Y2R;PULSE RED PEARL RED_VJ;HYUNDAI;75;51;3,4;8;16;0,5;9;4;0,1;33;;;;;;;
ZAM-2;MIDNIGHT BLACK PEARL_VJ;SUZUKI;5;0,4;0,5;30;10;10;0,5;0,4;140;;;;;;;;
KKSP-9;ROJO PERLA SPACIO_VJ;TOYOTA;5;14,6;3,4;24;75;30,6;3,7;4,5;4;9;5;21;;;;;
1E7-VTZ;SILVER MET_VJ;TOYOTA;105;8;0,2;2;0,6;2;0,2;79;;;;;;;;;
MAZ-3;RED CANDY MET 46V_VJ;MAZDA;135;55;4;1;;;;;;;;;;;;;
MOT-5;RED PEARL_VJ;MOTO;150;40;12;;;;;;;;;;;;;;
AZ-TR;AZUL TORITO;TORITO;90;8;38;7;8;;;;;;;;;;;;
BPE 643;ALUMINIO GRUESO;FARBEN;438;330;;;;;;;;;;;;;;;
1C7;GREY MET_VJ;TOYOTA;41;34;22;37;3;2;3;44;;;;;;;;;
FHVL-5;VERDE TURQUESA_VJ;VOLVO;67;81;19;2,3;17;10;1;30;;;;;;;;;
FHVL-17;VERDE CLARO TURQUESA_VJ;VOLVO;490;210;19;2;17;10;14;170;;;;;;;;;
5A7-2;SILKY GOLD MICA_VJ;TOYOTA;106;40;12;7;6;6,2;4;7,2;0,2;0,4;3;18;;;;;
1611-2;AZUL NAVAL _VJ;VOLVO;122,2;48,8;33;0,3;;;;;;;;;;;;;
ARO-2;DOURADO MET_VJ;HONDA;65;7;20;3;90;;;;;;;;;;;;
070-HX-2;BLANCO BASE P/ 070_VJ;TOYOTA;244;0,2;2,7;0,1;0,2;0,5;2,5;;;;;;;;;;
KKSP-12;BLANCO PERLA 1A7_VJ;TOYOTA;42;1,5;;0,4;0,8;33;13,2;19,1;5,3;274;;;;;;;
A20-ALT;SCARLET RED_VJ;NISSAN;130;70;24;;;;;;;;;;;;;;
CDR-10;DOURADO MET_VJ;NISSAN;15;77;19;1;2;21;27;4;0,3;44;4,7;;;;;;
SUZ-MCH-2;VERDE JIMNY_VJ;ZUSUKI;230;30;200;;;;;;;;;;;;;;
KKSP-13;RED PEARL RED_VJ;TOYOTA;370;370;10;50;74;;;;;;;;;;;;
1D6-RV4;SILVER MET_VJ;TOYOTA;60,2;2,3;2,4;28,7;1,2;0,8;5;57,1;32;0,6;0,8;;;;;;
CAN-AZ-1;CANDY AZUL_VJ;HKS;72;1,8;36;9;81;;;;;;;;;;;;
CAN-AZ-2;CANDY AZUL_VJ;HKS;180;12;;;;;;;;;;;;;;;
UD-2;CLEAR WHITE_VJ;KIA;225;0,4;0,2;0,1;0,3;0,8;;;;;;;;;;;
KG1;BLUISH SILVER MET_VJ;NISSAN;64,4;59,5;30;31;0,5;1;0,2;0,5;5,6;1,6;0,4;1;0,4;0,9;;;
MAZ-4;RED PEARL_VJ;MAZDA;41;71,5;15;0,4;0,6;1;45;15;6;;;;;;;;
Z5G;PEPPER GREY PEARL_VJ;HYUNDAI;77;1;8;2;8;4;21;;;;;;;;;;
4V6;BEIGE_VJ;TOYOTA;190;103;40;10;17;42;8;6;15;;;;;;;;
FHVL-19;VERDE VOLVO_VJ;VOLVO;148;6;4;2;64;;;;;;;;;;;;
ZTF-2;BLAZING RED PEARL_VJ;SUZUKI;23;19;8;2;25;22;10;3;8;10;58;;;;;;
LH1W;PLATA VEGAS MET MET_VJ;VOLKSWAGEN;81,8;62,1;0,5;3;1,5;14,6;9,5;1,5;4;24,7;;;;;;;
070-FT;BLANCO BASE P/ 070_VJ;TOYOTA;488;1;5,4;0,2;1,8;1;5;;;;;;;;;;
MITVJ-2;AZUL MET_VJ;MITSUBISHI;51,5;6;17,7;19,1;22,6;16,1;11,8;5,2;36;1,1;0,3;1;1,1;0,4;2;;
